year,unit,section,bucks,does,fawns,total_harvest,total_hunters,pct_success,rec_days
2021,501,muzzleloader,16,3,0,19,63,30,268
2021,51,muzzleloader,27,9,0,36,60,60,274
2021,511,muzzleloader,8,14,0,22,51,43,218
2021,52,muzzleloader,2,0,0,2,24,8,128
2021,521,muzzleloader,13,0,0,13,29,45,131
2021,53,muzzleloader,4,0,0,4,18,22,103
2021,54,muzzleloader,4,0,0,4,41,10,241
2021,55,muzzleloader,16,0,0,16,48,33,258
2021,551,muzzleloader,12,0,0,12,42,29,232
2021,56,muzzleloader,4,3,0,7,25,28,106
2021,561,muzzleloader,0,0,0,0,7,0,46
2021,57,muzzleloader,0,2,0,2,5,40,5
2021,58,muzzleloader,24,0,0,24,50,48,217
2021,581,muzzleloader,11,2,0,13,38,34,139
2021,59,muzzleloader,10,2,2,14,28,50,122
2021,591,muzzleloader,0,0,0,0,3,0,26
2021,61,muzzleloader,2,0,0,2,17,12,107
2021,62,muzzleloader,16,0,0,16,70,23,356
2021,63,muzzleloader,14,0,0,14,22,64,97
2021,64,muzzleloader,7,0,0,7,14,50,46
2021,65,muzzleloader,10,0,0,10,33,30,177
2021,66,muzzleloader,41,0,0,41,58,71,240
2021,67,muzzleloader,20,0,0,20,47,43,234
2021,68,muzzleloader,16,0,0,16,45,36,244
2021,681,muzzleloader,18,0,0,18,54,33,274
2021,682,muzzleloader,2,0,0,2,5,40,19
2021,69,muzzleloader,49,10,0,59,117,50,406
2021,691,muzzleloader,5,0,0,5,5,100,5
2021,70,muzzleloader,30,0,0,30,74,41,388
2021,71,muzzleloader,14,0,0,14,36,39,179
2021,711,muzzleloader,12,0,0,12,39,31,140
2021,72,muzzleloader,31,0,0,31,45,69,191
2021,73,muzzleloader,22,0,0,22,57,39,297
2021,74,muzzleloader,28,0,0,28,84,33,432
2021,741,muzzleloader,10,0,0,10,27,37,129
2021,75,muzzleloader,48,0,0,48,123,39,583
2021,751,muzzleloader,17,0,0,17,85,20,384
2021,76,muzzleloader,13,0,0,13,18,72,103
2021,77,muzzleloader,25,5,0,30,90,33,393
